Name,Team,OBP,SLG,OPS,BB%,K%,ISO,WAR▼,cluster,유형
홍창기,23 RF,0.444,0.412,0.856,0.137,0.129,0.08,6.89,2,컨택형
노시환,23 3B,0.388,0.541,0.929,0.124,0.198,0.243,6.74,0,출루형
양의지,23 C,0.396,0.474,0.87,0.112,0.11,0.169,6.18,2,컨택형
김혜성,23 2B,0.396,0.446,0.842,0.092,0.124,0.111,6.09,2,컨택형
구자욱,23 RF,0.407,0.494,0.901,0.103,0.157,0.158,5.43,2,컨택형
최정,23 3B,0.388,0.548,0.936,0.107,0.158,0.251,5.42,0,출루형
오지환,23 SS,0.371,0.396,0.767,0.127,0.163,0.128,5.17,2,컨택형
오스틴,23 1B,0.376,0.517,0.893,0.091,0.129,0.204,5.13,0,출루형
박민우,23 2B,0.381,0.405,0.786,0.079,0.112,0.089,4.53,2,컨택형
손아섭,23 DH,0.393,0.443,0.836,0.082,0.11,0.104,4.46,2,컨택형
정수빈,23 CF,0.375,0.371,0.746,0.11,0.108,0.084,4.4,1,혼합형
박동원,23 C,0.334,0.443,0.777,0.102,0.187,0.194,4.26,3,삼진형
박찬호,23 SS,0.356,0.378,0.734,0.079,0.11,0.077,4.23,1,혼합형
문보경,23 3B,0.377,0.448,0.825,0.107,0.153,0.147,4.12,2,컨택형
박건우,23 RF,0.397,0.48,0.877,0.105,0.133,0.161,4.05,2,컨택형
소크라테스,23 CF,0.344,0.463,0.807,0.086,0.132,0.178,4.0,3,삼진형
알포드,23 LF,0.356,0.456,0.812,0.086,0.256,0.167,3.98,3,삼진형
에레디아,23 LF,0.385,0.461,0.846,0.075,0.143,0.138,3.95,2,컨택형
최형우,23 DH,0.4,0.487,0.887,0.128,0.163,0.185,3.85,2,컨택형
문성주,23 LF,0.392,0.372,0.764,0.125,0.064,0.078,3.69,2,컨택형
박성한,23 SS,0.347,0.366,0.713,0.11,0.106,0.1,3.66,1,혼합형
마틴,23 CF,0.36,0.455,0.815,0.113,0.213,0.172,3.55,3,삼진형
전준우,23 DH,0.381,0.471,0.852,0.093,0.116,0.159,3.53,2,컨택형
박해민,23 CF,0.348,0.359,0.707,0.081,0.133,0.074,3.46,1,혼합형
강민호,23 C,0.366,0.445,0.811,0.099,0.131,0.155,3.4,2,컨택형
장성우,23 C,0.351,0.422,0.773,0.091,0.151,0.134,3.4,1,혼합형
황재균,23 3B,0.366,0.413,0.779,0.098,0.14,0.118,3.24,2,컨택형
양석환,23 1B,0.333,0.454,0.787,0.07,0.229,0.173,2.92,3,삼진형
박병호,23 1B,0.357,0.443,0.8,0.093,0.231,0.16,2.75,3,삼진형
이재현,23 SS,0.33,0.378,0.708,0.097,0.165,0.129,2.73,1,혼합형
김선빈,23 2B,0.381,0.358,0.739,0.08,0.055,0.038,2.71,1,혼합형
김민혁,23 RF,0.356,0.385,0.741,0.08,0.107,0.088,2.63,1,혼합형
로하스,23 LF,0.345,0.474,0.819,0.119,0.147,0.221,2.59,3,삼진형
안치홍,23 2B,0.374,0.4,0.774,0.099,0.107,0.108,2.38,2,컨택형
김상수,23 SS,0.353,0.339,0.692,0.107,0.133,0.068,2.35,1,혼합형
김주원,23 SS,0.328,0.34,0.668,0.093,0.224,0.107,2.3,1,혼합형
허경민,23 3B,0.328,0.375,0.703,0.074,0.055,0.107,2.14,1,혼합형
채은성,23 1B,0.351,0.428,0.779,0.087,0.171,0.165,1.85,3,삼진형
추신수,23 DH,0.379,0.398,0.777,0.141,0.171,0.144,1.78,2,컨택형
김현수,23 DH,0.364,0.383,0.747,0.104,0.095,0.09,1.69,1,혼합형
강승호,23 2B,0.316,0.387,0.703,0.059,0.24,0.122,1.54,1,혼합형
문현빈,23 CF,0.324,0.362,0.686,0.069,0.175,0.096,1.42,1,혼합형
최지훈,23 CF,0.315,0.357,0.672,0.058,0.099,0.089,1.3,1,혼합형
최주환,23 2B,0.31,0.432,0.742,0.092,0.197,0.197,1.0,3,삼진형
정은원,23 2B,0.333,0.268,0.601,0.135,0.159,0.046,0.76,1,혼합형
피렐라,23 LF,0.339,0.425,0.764,0.069,0.114,0.14,0.66,1,혼합형
김현준,23 CF,0.327,0.346,0.673,0.063,0.175,0.071,0.65,1,혼합형
김재환,23 DH,0.343,0.331,0.674,0.149,0.207,0.111,0.45,1,혼합형
류지혁,23 3B,0.34,0.31,0.65,0.088,0.14,0.042,0.4,1,혼합형
김민석,23 CF,0.314,0.338,0.652,0.068,0.247,0.083,0.1,1,혼합형
김도영,24 3B,0.42,0.647,1.067,0.106,0.176,0.3,8.59,0,출루형
로하스,24 RF,0.421,0.568,0.989,0.131,0.172,0.239,6.71,0,출루형
송성문,24 3B,0.409,0.518,0.927,0.106,0.136,0.178,6.33,0,출루형
구자욱,24 LF,0.417,0.627,1.044,0.097,0.129,0.284,5.88,0,출루형
김혜성,24 2B,0.383,0.458,0.841,0.083,0.109,0.132,5.33,2,컨택형
오스틴,24 1B,0.384,0.573,0.957,0.101,0.136,0.254,5.23,0,출루형
홍창기,24 RF,0.447,0.41,0.857,0.151,0.146,0.074,5.23,2,컨택형
박민우,24 2B,0.406,0.446,0.852,0.102,0.15,0.118,4.85,2,컨택형
최정,24 3B,0.384,0.594,0.978,0.1,0.207,0.303,4.7,0,출루형
에레디아,24 LF,0.399,0.538,0.937,0.047,0.124,0.178,4.56,0,출루형
박동원,24 C,0.349,0.461,0.81,0.11,0.225,0.189,4.54,3,삼진형
문보경,24 3B,0.372,0.507,0.879,0.108,0.186,0.206,4.46,3,삼진형
김지찬,24 CF,0.405,0.384,0.789,0.112,0.075,0.068,4.11,2,컨택형
데이비슨,24 1B,0.37,0.633,1.003,0.069,0.25,0.327,4.11,0,출루형
권희동,24 LF,0.417,0.452,0.869,0.151,0.123,0.152,3.89,2,컨택형
김주원,24 SS,0.371,0.379,0.75,0.107,0.234,0.127,3.87,3,삼진형
강승호,24 2B,0.328,0.476,0.804,0.057,0.279,0.196,3.83,3,삼진형
박성한,24 SS,0.38,0.411,0.791,0.113,0.152,0.11,3.72,2,컨택형
소크라테스,24 LF,0.359,0.516,0.875,0.068,0.151,0.206,3.54,3,삼진형
레이예스,24 RF,0.394,0.51,0.904,0.073,0.13,0.158,3.51,2,컨택형
강민호,24 C,0.365,0.496,0.861,0.077,0.115,0.193,3.43,2,컨택형
장성우,24 C,0.355,0.45,0.805,0.123,0.176,0.182,3.34,3,삼진형
양의지,24 C,0.379,0.479,0.858,0.082,0.115,0.165,3.31,2,컨택형
허경민,24 3B,0.384,0.427,0.811,0.075,0.052,0.118,3.3,2,컨택형
윤동희,24 CF,0.376,0.453,0.829,0.109,0.186,0.16,3.23,2,컨택형
김재환,24 DH,0.368,0.525,0.893,0.114,0.304,0.242,3.19,3,삼진형
고승민,24 2B,0.358,0.476,0.834,0.077,0.147,0.168,3.18,3,삼진형
이재현,24 SS,0.365,0.419,0.784,0.127,0.181,0.159,3.13,2,컨택형
정수빈,24 CF,0.376,0.361,0.737,0.117,0.118,0.077,3.07,1,혼합형
박찬호,24 SS,0.363,0.386,0.749,0.083,0.076,0.079,2.87,1,혼합형
신민재,24 2B,0.401,0.357,0.758,0.135,0.099,0.06,2.72,2,컨택형
노시환,24 3B,0.356,0.454,0.81,0.1,0.215,0.182,2.49,3,삼진형
김선빈,24 2B,0.38,0.447,0.827,0.064,0.084,0.118,2.46,2,컨택형
김영웅,24 3B,0.321,0.485,0.806,0.088,0.305,0.233,2.37,3,삼진형
김휘집,24 SS,0.337,0.41,0.747,0.093,0.212,0.152,2.31,3,삼진형
나승엽,24 1B,0.411,0.469,0.88,0.141,0.17,0.157,2.29,2,컨택형
최원준,24 CF,0.371,0.42,0.791,0.098,0.13,0.128,2.24,2,컨택형
양석환,24 1B,0.316,0.488,0.804,0.083,0.216,0.242,2.24,3,삼진형
페라자,24 LF,0.364,0.486,0.85,0.121,0.247,0.211,2.2,3,삼진형
강백호,24 DH,0.36,0.48,0.84,0.096,0.207,0.191,2.19,3,삼진형
박해민,24 CF,0.336,0.359,0.695,0.083,0.183,0.096,2.1,1,혼합형
이주형,24 RF,0.352,0.402,0.754,0.091,0.222,0.136,2.03,3,삼진형
전준우,24 DH,0.369,0.485,0.854,0.101,0.174,0.192,1.85,3,삼진형
최지훈,24 CF,0.345,0.418,0.763,0.092,0.131,0.143,1.82,1,혼합형
최형우,24 DH,0.361,0.499,0.86,0.107,0.177,0.219,1.59,3,삼진형
서호철,24 3B,0.342,0.393,0.735,0.053,0.178,0.108,1.44,1,혼합형
안치홍,24 DH,0.37,0.427,0.797,0.092,0.131,0.127,1.38,2,컨택형
채은성,24 1B,0.351,0.463,0.814,0.098,0.167,0.192,1.18,3,삼진형
김현수,24 LF,0.357,0.418,0.775,0.081,0.13,0.124,1.09,1,혼합형
박승욱,24 SS,0.351,0.365,0.716,0.1,0.256,0.103,1.05,1,혼합형
송성문,25 3B,0.387,0.53,0.917,0.105,0.149,0.215,8.58,0,출루형
양의지,25 C,0.406,0.533,0.939,0.097,0.122,0.196,6.79,0,출루형
안현민,25 RF,0.448,0.57,1.018,0.156,0.149,0.236,6.77,0,출루형
김주원,25 SS,0.379,0.451,0.83,0.101,0.178,0.162,6.33,2,컨택형
디아즈,25 1B,0.381,0.644,1.025,0.096,0.159,0.33,5.8,0,출루형
김성윤,25 RF,0.419,0.474,0.893,0.121,0.1,0.143,5.5,2,컨택형
박성한,25 SS,0.384,0.381,0.765,0.147,0.173,0.107,5.28,2,컨택형
이재현,25 SS,0.36,0.427,0.787,0.124,0.214,0.173,5.13,3,삼진형
박동원,25 C,0.342,0.455,0.797,0.119,0.237,0.202,5.12,3,삼진형
노시환,25 3B,0.354,0.497,0.851,0.112,0.2,0.237,4.88,3,삼진형
오스틴,25 1B,0.393,0.595,0.988,0.122,0.124,0.282,4.86,0,출루형
박찬호,25 SS,0.363,0.359,0.722,0.104,0.116,0.072,4.56,1,혼합형
박해민,25 CF,0.379,0.346,0.725,0.125,0.173,0.07,4.55,1,혼합형
구자욱,25 LF,0.402,0.516,0.918,0.119,0.148,0.197,4.48,0,출루형
박민우,25 2B,0.384,0.426,0.81,0.094,0.137,0.124,4.38,2,컨택형
최형우,25 DH,0.399,0.529,0.928,0.122,0.179,0.222,4.37,0,출루형
케이브,25 RF,0.351,0.463,0.814,0.073,0.196,0.164,4.3,3,삼진형
문보경,25 3B,0.371,0.46,0.831,0.13,0.178,0.184,4.18,2,컨택형
위즈덤,25 1B,0.321,0.535,0.856,0.107,0.292,0.299,3.49,3,삼진형
신민재,25 2B,0.395,0.382,0.777,0.115,0.106,0.069,3.49,2,컨택형
김현수,25 LF,0.384,0.422,0.806,0.116,0.132,0.124,3.36,2,컨택형
레이예스,25 LF,0.386,0.475,0.861,0.09,0.103,0.149,3.21,2,컨택형
이주형,25 CF,0.337,0.368,0.705,0.072,0.224,0.128,2.93,1,혼합형
오지환,25 SS,0.314,0.43,0.744,0.078,0.244,0.177,2.89,3,삼진형
김휘집,25 3B,0.349,0.42,0.769,0.08,0.178,0.171,2.87,3,삼진형
정수빈,25 CF,0.355,0.348,0.703,0.112,0.104,0.09,2.83,1,혼합형
김영웅,25 3B,0.323,0.455,0.778,0.096,0.287,0.206,2.82,3,삼진형
권희동,25 LF,0.393,0.363,0.756,0.169,0.175,0.117,2.76,2,컨택형
문성주,25 RF,0.375,0.375,0.75,0.1,0.109,0.07,2.61,1,혼합형
강민호,25 C,0.336,0.417,0.753,0.082,0.148,0.148,2.59,1,혼합형
문현빈,25 LF,0.37,0.453,0.823,0.064,0.139,0.133,2.42,2,컨택형
최지훈,25 CF,0.342,0.371,0.713,0.075,0.152,0.087,2.3,1,혼합형
장성우,25 C,0.333,0.38,0.713,0.115,0.2,0.133,2.27,1,혼합형
고승민,25 2B,0.35,0.35,0.7,0.104,0.154,0.079,2.05,1,혼합형
한유섬,25 RF,0.347,0.424,0.771,0.09,0.235,0.151,1.82,3,삼진형
허경민,25 3B,0.362,0.355,0.717,0.081,0.073,0.072,1.68,1,혼합형
류지혁,25 2B,0.351,0.323,0.674,0.071,0.157,0.043,1.51,1,혼합형
전준우,25 DH,0.369,0.42,0.789,0.093,0.15,0.127,1.39,2,컨택형
채은성,25 1B,0.347,0.467,0.814,0.059,0.182,0.179,1.37,3,삼진형
고명준,25 1B,0.306,0.433,0.739,0.04,0.198,0.155,0.79,3,삼진형
최주환,25 1B,0.33,0.425,0.755,0.071,0.13,0.15,0.56,1,혼합형
오선우,25 1B,0.323,0.432,0.755,0.072,0.333,0.167,0.03,3,삼진형
최원준,25 CF,0.289,0.332,0.621,0.051,0.158,0.09,-1.28,1,혼합형
